var,rae
theta1_num[20],0.00095066
part_1[4],0.00100758
part_1_reg[4],0.00100758
part_x[19],0.00121379
part_x_reg[19],0.00121379
theta1_num[19],0.00145117
sin12[5],0.00165401
sin12_reg[5],0.00165401
sin12[4],0.00192368
sin12_reg[4],0.00192368
y_sqr[13],0.00359769
y_sqr_reg[13],0.00359769
theta2_num[13],0.00379882
x_sqr[12],0.00380257
x_sqr_reg[12],0.00380257
xy_sum[13],0.00403422
x_sqr[13],0.00426289
x_sqr_reg[13],0.00426289
part_y[21],0.0046291
part_y_reg[21],0.0046291
theta1_num[18],0.00487283
part_1[3],0.00493521
part_1_reg[3],0.00493521
part_y[18],0.00494418
part_y_reg[18],0.00494418
cos12[3],0.00500039
cos12_reg[3],0.00500039
part_x[20],0.00529019
part_x_reg[20],0.00529019
part_y[20],0.00554125
part_y_reg[20],0.00554125
cos_theta2_reg[2],0.00598326
cos_theta2[2],0.00598326
cos12[5],0.00612889
cos12_reg[5],0.00612889
cos12[6],0.00619115
cos12_reg[6],0.00619115
part_1[5],0.00653617
part_1_reg[5],0.00653617
cos_theta2_reg[1],0.00665544
cos_theta2[1],0.00665544
cos12[7],0.00719063
cos12_reg[7],0.00719063
theta1_num[21],0.0074941
sin_theta2_reg[2],0.0075498
sin_theta2[2],0.0075498
part_x[21],0.00785291
part_x_reg[21],0.00785291
part_1[6],0.00785498
part_1_reg[6],0.00785498
theta2_num[14],0.0080248
part_y[22],0.00882097
part_y_reg[22],0.00882097
xy_sum[14],0.00895331
sin_theta2_reg[0],0.0091475
sin_theta2[0],0.0091475
part_1[7],0.00918179
part_1_reg[7],0.00918179
sin_theta2_reg[1],0.00946244
sin_theta2[1],0.00946244
x_sqr[14],0.010074
x_sqr_reg[14],0.010074
theta1_num[22],0.0103056
cos_theta2_reg[3],0.0107918
cos_theta2[3],0.0107918
theta1_in[7],0.011055
theta1_in[8],0.0125831
part_y[23],0.0127974
part_y_reg[23],0.0127974
cos12[8],0.0128012
cos12_reg[8],0.0128012
cos_theta2_reg[4],0.012872
cos_theta2[4],0.012872
part_1[8],0.0137794
part_1_reg[8],0.0137794
part_x[22],0.0150356
part_x_reg[22],0.0150356
sin12[9],0.0155385
sin12_reg[9],0.0155385
sin12[6],0.0158155
sin12_reg[6],0.0158155
cos_theta2_reg[5],0.0158431
cos_theta2[5],0.0158431
sin_theta2_reg[3],0.0165992
sin_theta2[3],0.0165992
sin12[7],0.0169874
sin12_reg[7],0.0169874
part_y[24],0.0193395
part_y_reg[24],0.0193395
theta1_num[23],0.0218317
sin_theta2_reg[4],0.0225342
sin_theta2[4],0.0225342
theta1_in[10],0.0278747
sin_theta2_reg[5],0.0288324
sin_theta2[5],0.0288324
theta1_num[24],0.0298366
theta1_in[9],0.0298755
theta1_in[16],0.0373748
part_y[25],0.0408529
part_y_reg[25],0.0408529
theta1_num[25],0.0521169
theta1_in[11],0.0562243
theta1_in[14],0.0916474
theta1_in[12],0.0958559
theta1_num[26],0.0965874
theta1_in[15],0.103932
theta1_num[30],0.109476
theta1_num[27],0.111962
theta1_num[28],0.119947
theta1_in[13],0.12734
theta1_num[29],0.142831
part_y[31],0.184489
part_y_reg[31],0.184489
signed_bit[0],0.200638
theta1_num[31],0.255
theta1_in[31],0.255
theta2_num[31],29.092
theta2_in[31],29.092
cos_theta2_reg[31],29.0943
cos_theta2[31],29.0943
cos12[31],29.0943
cos12_reg[31],29.0943
theta2_num[12],52.515
xy_sum[12],52.5157
y_sqr[12],52.5169
y_sqr_reg[12],52.5169
sin12[8],68.277
sin12_reg[8],68.277
part_x[23],68.2827
part_x_reg[23],68.2827
part_x[24],68.2979
part_x_reg[24],68.2979
part_x[25],68.3033
part_x_reg[25],68.3033
part_1[9],84.1099
part_1_reg[9],84.1099
cos12[9],84.1101
cos12_reg[9],84.1101
sin_theta2_reg[6],116.586
sin_theta2[6],116.586
part_x[26],136.604
part_x_reg[26],136.604
y_sqr[14],137.084
y_sqr_reg[14],137.084
xy_sum[16],179.134
cos12[10],186.208
part_1[10],186.208
cos12_reg[10],186.208
part_1_reg[10],186.208
theta2_num[15],238.73
cos_theta2_reg[7],265.696
cos_theta2[7],265.696
part_y[26],280.635
part_y_reg[26],280.635
theta2_num[17],288.255
cos_theta2_reg[6],349.762
cos_theta2[6],349.762
xy_sum[15],351.983
cos12[11],372.396
cos12_reg[11],372.396
part_1[11],372.401
part_1_reg[11],372.401
cos_theta2_reg[8],390.998
cos_theta2[8],390.998
y_sqr[16],398.151
y_sqr_reg[16],398.151
theta2_in[7],401.1
x_sqr[15],401.11
x_sqr_reg[15],401.11
y_sqr[15],401.115
y_sqr_reg[15],401.115
theta2_in[9],515.085
sin_theta2_reg[7],566.531
sin_theta2[7],566.531
sin12[10],569.182
sin12_reg[10],569.182
theta2_num[16],604.02
xy_sum[17],608.114
theta2_in[8],633.42
part_1[12],639.227
part_1_reg[12],639.227
cos12[12],639.229
cos12_reg[12],639.229
sin12[11],656.047
sin12_reg[11],656.047
x_sqr[17],663.064
x_sqr_reg[17],663.064
part_x[27],740.775
part_x_reg[27],740.775
part_y[27],779.931
part_y_reg[27],779.931
x_sqr[16],806.296
x_sqr_reg[16],806.296
y_sqr[17],856.393
y_sqr_reg[17],856.393
part_y[28],946.584
part_y_reg[28],946.584
sin12[12],1024.63
sin12_reg[12],1024.63
sin_theta2_reg[8],1032.56
sin_theta2[8],1032.56
theta2_in[10],1305.83
theta2_num[18],1342.96
part_1[13],1462.24
part_1_reg[13],1462.24
cos12[13],1491.33
cos12_reg[13],1491.33
y_sqr[18],1517.55
y_sqr_reg[18],1517.55
cos_theta2_reg[9],1527.94
cos_theta2[9],1527.94
part_x[28],1618.43
part_x_reg[28],1618.43
sin12[17],1620.39
sin12_reg[17],1620.39
xy_sum[18],1653.79
sin_theta2_reg[9],1924.36
sin_theta2[9],1924.36
x_sqr[18],2054.02
x_sqr_reg[18],2054.02
xy_sum[19],2280.65
theta2_in[11],2543.22
part_x[29],2715.54
part_x_reg[29],2715.54
cos12[17],2726.01
cos12_reg[17],2726.01
x_sqr[19],2816.7
x_sqr_reg[19],2816.7
y_sqr[19],2925.04
y_sqr_reg[19],2925.04
part_1[14],3181.47
part_1_reg[14],3181.47
cos12[14],3210.56
cos12_reg[14],3210.56
sin12[13],3295.73
sin12_reg[13],3295.73
cos_theta2_reg[10],3398.13
cos_theta2[10],3398.13
part_y[29],3454.43
part_y_reg[29],3454.43
cos12[16],3877.62
cos12_reg[16],3877.62
cos12[18],3902.21
cos12_reg[18],3902.21
theta2_num[19],4082.58
part_1[16],4214.88
part_1_reg[16],4214.88
cos_theta2_reg[11],4290.76
cos_theta2[11],4290.76
cos_theta2_reg[12],4333.35
cos_theta2[12],4333.35
theta2_num[22],4337
part_1[19],4580.09
part_1_reg[19],4580.09
part_1[18],4607.99
part_1_reg[18],4607.99
cos_theta2_reg[14],4612.24
cos_theta2[14],4612.24
cos12[15],4656.802
cos12_reg[15],4656.802
cos_theta2_reg[13],4948.91
cos_theta2[13],4948.91
xy_sum[29],5052.602
theta2_num[29],5120.042
theta2_in[12],5147.52
sin12[14],5187.39
sin12_reg[14],5187.39
x_sqr[25],5215.632
x_sqr_reg[25],5215.632
part_1[17],5278.112
part_1_reg[17],5278.112
sin12[15],5359.17
sin12_reg[15],5359.17
theta2_num[24],5371.572
theta2_num[20],5386.88
theta2_num[30],5464.15
sin12[16],5480.95
sin12_reg[16],5480.95
x_sqr[30],5528.9
x_sqr_reg[30],5528.9
xy_sum[25],5532.162
sin_theta2_reg[10],5543.85
sin_theta2[10],5543.85
x_sqr[26],5586.6
x_sqr_reg[26],5586.6
y_sqr[20],5659.68
y_sqr_reg[20],5659.68
xy_sum[22],5743.64
xy_sum[30],5777.9
xy_sum[20],5795.77
sin12[18],5930.05
sin12_reg[18],5930.05
xy_sum[23],5956.25
xy_sum[26],6015.74
y_sqr[21],6107.12
y_sqr_reg[21],6107.12
x_sqr[20],6160.98
x_sqr_reg[20],6160.98
theta2_num[25],6204.12
part_1[15],6278.14
part_1_reg[15],6278.14
sin_theta2_reg[13],6318.59
sin_theta2[13],6318.59
x_sqr[24],6325.38
x_sqr_reg[24],6325.38
y_sqr[30],6382.33
y_sqr_reg[30],6382.33
y_sqr[22],6429.97
y_sqr_reg[22],6429.97
sin_theta2_reg[12],6485.082
sin_theta2[12],6485.082
y_sqr[24],6584.382
y_sqr_reg[24],6584.382
x_sqr[27],6615.63
x_sqr_reg[27],6615.63
y_sqr[26],6628.902
y_sqr_reg[26],6628.902
sin_theta2_reg[14],6763.18
sin_theta2[14],6763.18
theta2_in[16],6830.22
theta2_in[14],6862.87
y_sqr[25],6871.292
y_sqr_reg[25],6871.292
theta2_num[23],6881.17
x_sqr[21],6954.23
x_sqr_reg[21],6954.23
y_sqr[29],7016.84
y_sqr_reg[29],7016.84
part_x[30],7083.21
part_x_reg[30],7083.21
xy_sum[27],7099.66
theta2_num[28],7123.192
x_sqr[22],7240.542
x_sqr_reg[22],7240.542
x_sqr[23],7241.34
x_sqr_reg[23],7241.34
xy_sum[28],7242.342
xy_sum[21],7317.91
y_sqr[27],7380.02
y_sqr_reg[27],7380.02
sin_theta2_reg[11],7416.57
sin_theta2[11],7416.57
theta2_num[26],7432.78
part_y[30],7549.772
part_y_reg[30],7549.772
theta2_in[13],7625.48
y_sqr[23],7678.41
y_sqr_reg[23],7678.41
theta2_in[15],7727.91
x_sqr[29],7951.902
x_sqr_reg[29],7951.902
theta2_num[21],7968.4
theta2_num[27],8231.45
xy_sum[24],8716.68
x_sqr[28],8821.42
x_sqr_reg[28],8821.42
y_sqr[28],9223.04
y_sqr_reg[28],9223.04
part_x[31],27923.6
part_x_reg[31],27923.6
