token,err
br12_0,0.00000000
br12_1,0.00000000
br12_2,0.00000000
br12_3,0.00000000
br12_4,0.00000000
br12_5,0.00000000
br12_6,0.00000000
br12_7,0.00000000
br12_8,0.00000000
br12_9,0.00000000
br12_10,0.00001020
br12_11,0.00002146
br12_12,0.00132341
br12_13,0.00073018
br12_14,0.00190131
br12_15,0.00450697
br12_16,0.00890104
br12_17,0.01110327
br12_18,0.02400327
br12_19,0.04527414
br12_20,0.07776174
br12_21,0.09398522
br12_22,0.10379417
br12_23,0.14929527
br12_24,0.18122372
br12_25,0.07969425
br12_26,0.09730479
br12_27,0.12346408
br12_28,0.15422690
br12_29,0.18158572
br12_30,0.07080911
br12_31,0.00060865
br13_0,0.00000000
br13_1,0.00000000
br13_2,0.00000000
br13_3,0.00000000
br13_4,0.00000000
br13_5,0.00000000
br13_6,0.00000000
br13_7,0.00351295
br13_8,0.00981215
br13_9,0.01421685
br13_10,0.02573461
br13_11,0.04285238
br13_12,0.06800708
br13_13,0.09201163
br13_14,0.09797711
br13_15,0.11855160
br13_16,0.20080039
br13_17,0.00000000
br13_18,0.00000000
br13_19,0.00000000
br13_20,0.00000000
br13_21,0.00000000
br13_22,0.00000000
br13_23,0.00000000
br13_24,0.00000000
br13_25,0.00000000
br13_26,0.00000000
br13_27,0.00000000
br13_28,0.00000000
br13_29,0.00000000
br13_30,0.00000000
br13_31,0.00060865
br14_0,0.00000001
br14_1,0.00000002
br14_2,0.00050004
br14_3,0.00050005
br14_4,0.00000011
br14_5,0.00050010
br14_6,0.00500013
br14_7,0.00500029
br14_8,0.00900035
br14_9,0.01650026
br14_10,0.03000018
br14_11,0.04499980
br14_12,0.03700003
br14_13,0.04699975
br14_14,0.05099963
br14_15,0.00000000
br14_16,0.00000000
br14_17,0.00000000
br14_18,0.00000000
br14_19,0.00000000
br14_20,0.00000000
br14_21,0.00000000
br14_22,0.00000000
br14_23,0.00000000
br14_24,0.00000000
br14_25,0.00000000
br14_26,0.00000000
br14_27,0.00000000
br14_28,0.00000000
br14_29,0.00000000
br14_30,0.00000000
br14_31,0.00050000
br15_0,0.00000002
br15_1,0.00000003
br15_2,0.00000005
br15_3,0.00000012
br15_4,0.00000019
br15_5,0.00100020
br15_6,0.00250021
br15_7,0.00450034
br15_8,0.01100039
br15_9,0.02450019
br15_10,0.04699980
br15_11,0.06899913
br15_12,0.05749969
br15_13,0.06299967
br15_14,0.06699967
br15_15,0.00000000
br15_16,0.00000000
br15_17,0.00000000
br15_18,0.00000000
br15_19,0.00000000
br15_20,0.00000000
br15_21,0.00000000
br15_22,0.00000000
br15_23,0.00000000
br15_24,0.00000000
br15_25,0.00000000
br15_26,0.00000000
br15_27,0.00000000
br15_28,0.00000000
br15_29,0.00000000
br15_30,0.00000000
br15_31,0.00000000
br16_0,0.00000000
br16_1,0.00000000
br16_2,0.00000000
br16_3,0.00000002
br16_4,0.00000001
br16_5,0.00050003
br16_6,0.00000008
br16_7,0.00050006
br16_8,0.00100013
br16_9,0.00200014
br16_10,0.00250022
br16_11,0.00700023
br16_12,0.01000043
br16_13,0.02350030
br16_14,0.03599990
br16_15,0.04299981
br16_16,0.03999995
br16_17,0.02999991
br16_18,0.02949992
br16_19,0.00000000
br16_20,0.00000000
br16_21,0.00000000
br16_22,0.00000000
br16_23,0.00000000
br16_24,0.00000000
br16_25,0.00000000
br16_26,0.00000000
br16_27,0.00000000
br16_28,0.00000000
br16_29,0.00000000
br16_30,0.00000000
br16_31,0.00050000
br17_0,0.00000000
br17_1,0.00000000
br17_2,0.00000001
