token,size,bit,cluster,score
br6,32,4,0,0.0000
br6,32,5,0,0.0000
br6,32,6,0,0.0000
br6,32,7,0,0.0000
br6,32,9,0,0.0000
br7,32,0,0,0.0000
br7,32,15,0,0.0000
br7,32,16,0,0.0000
br7,32,17,0,0.0000
br7,32,18,0,0.0000
br7,32,19,0,0.0000
br7,32,2,0,0.0000
br7,32,20,0,0.0000
br7,32,21,0,0.0000
br7,32,22,0,0.0000
br7,32,23,0,0.0000
br7,32,24,0,0.0000
br7,32,25,0,0.0000
br7,32,26,0,0.0000
br7,32,27,0,0.0000
br7,32,28,0,0.0000
br7,32,29,0,0.0000
br7,32,30,0,0.0000
br7,32,31,0,0.0000
br8,32,0,0,0.0000
br8,32,1,0,0.0000
br8,32,15,0,0.0000
br8,32,16,0,0.0000
br8,32,17,0,0.0000
br8,32,18,0,0.0000
br8,32,19,0,0.0000
br8,32,2,0,0.0000
br8,32,20,0,0.0000
br8,32,21,0,0.0000
br8,32,22,0,0.0000
br8,32,23,0,0.0000
br8,32,24,0,0.0000
br8,32,25,0,0.0000
br8,32,26,0,0.0000
br8,32,27,0,0.0000
br8,32,28,0,0.0000
br8,32,29,0,0.0000
br8,32,30,0,0.0000
br8,32,31,0,0.0000
br8,32,4,0,0.0000
br9,32,0,0,0.0000
br9,32,1,0,0.0000
br9,32,10,0,0.0000
br9,32,11,0,0.0000
br9,32,12,0,0.0000
br9,32,13,0,0.0000
br9,32,15,0,0.0000
br9,32,2,0,0.0000
br9,32,3,0,0.0000
br9,32,31,0,0.0000
br9,32,4,0,0.0000
br9,32,5,0,0.0000
br9,32,6,0,0.0000
br9,32,8,0,0.0000
br9,32,9,0,0.0000
br0,32,14,0,2.0986
br0,32,16,0,2.0986
br0,32,7,0,2.0986
br1,32,12,0,2.0986
br1,32,14,0,2.0986
br1,32,9,0,2.0986
br10,32,12,0,2.0986
br10,32,14,0,2.0986
br10,32,9,0,2.0986
br13,32,7,0,2.0986
br13,32,8,0,2.0986
br14,32,3,0,2.0986
br14,32,5,0,2.0986
br14,32,7,0,2.0986
br16,32,11,0,2.0986
br16,32,5,0,2.0986
br16,32,6,0,2.0986
br16,32,7,0,2.0986
br16,32,9,0,2.0986
br17,32,11,0,2.0986
br17,32,8,0,2.0986
br18,32,7,0,2.0986
br2,32,7,0,2.0986
br21,32,23,0,2.0986
br22,32,23,0,2.0986
br22,32,25,0,2.0986
br23,32,12,0,2.0986
br23,32,20,0,2.0986
br23,32,8,0,2.0986
br23,32,9,0,2.0986
br28,31,22,0,2.0986
br3,32,11,0,2.0986
br3,32,5,0,2.0986
br3,32,6,0,2.0986
br3,32,7,0,2.0986
br3,32,9,0,2.0986
br4,32,22,0,2.0986
br5,32,23,0,2.0986
br6,32,11,0,2.0986
br6,32,8,0,2.0986
br8,32,3,0,2.0986
br8,32,5,0,2.0986
br8,32,7,0,2.0986
br9,32,14,0,2.0986
br9,32,16,0,2.0986
br9,32,7,0,2.0986
br15,32,1,0,2.7918
br15,32,3,0,2.7918
br18,32,4,0,2.7918
br18,32,5,0,2.7918
br2,32,4,0,2.7918
br2,32,5,0,2.7918
br28,31,19,0,2.7918
br4,32,19,0,2.7918
