unsigned int x,unsigned int y,unsigned int theta1,unsigned int theta2
1159901327,3794065545,      3929,     45893
 141227534, 133658822,      1745,     49919
 988041085,3664626036,      9626,     28248
4091488706,1547462763,      8329,     41142
1444440976, 314014004,      6556,     48411
 101813047,1205182743,     40634,     11320
1554226280,1091364598,     14289,     44426
3397945266, 729715829,      5936,     27739
3294998081,1482360242,     16295,      6568
4163049139,3255994924,      1072,     28374
1304812841,2013095352,      5222,     27266
1051124686, 490895996,      3865,     20640
3973152313,1534866631,      8959,     22167
1921327515,2962902710,     29562,     14415
2926182180, 632567082,     15607,     22723
 789274293,1442460060,      4607,     41913
 810607731,3203476953,      6621,     41779
1455974198, 999849074,       304,     51456
2202986733,3041079345,     16844,     35358
2483449360,3986105415,      1937,     22923
3798226850, 222432939,     13796,     27005
3070570692,3802562903,      2386,     48540
2900421034,1645504849,      6067,     43901
2888295174,1372714569,     35828,     17049
3492827417,2117720431,      7538,     16394
4106441900, 104641991,     24862,     37289
1565747197, 467027163,      7966,     32911
1833891540,2575016452,      5611,     10125
3133897932,3557157545,       304,     35539
3617215348,1511125924,      3575,     50400
3948109817,2734609018,      5482,     14639
2482342214,1966160724,      3736,     47413
3945467055, 118502799,      3736,     40093
2872038866, 760156348,      3704,     14112
1546618035,2348643859,      1232,     34811
1215784925, 679138250,       464,     49310
2122667646,2171158534,     15070,      6727
2701628344,2867481153,      2771,     32911
2568674200,3567682344,       112,     43010
4035519794,1826927935,     32581,     32147
3867731341,3653615549,      4381,     43341
2185762600, 187860106,      6817,     48090
1662585584,1441718055,      7473,     22923
 524778785,2097609388,      3768,     38339
 810310448,3564657223,      2354,     45308
 770092782,2445432774,     32581,     12318
4051689941,2255230539,      4639,     30780
3322362025,2563727294,      3253,     50752
1265463946,1490749543,      5644,     19298
3732627210,2319802750,     18221,     19810
 565852922,3596795168,     11754,     39956
1674406444,1819003873,     11243,     11130
3349302448,3911773952,     21857,     32835
2143381392, 601559018,     10566,     27179
1176691058,2022373488,      6915,     21230
 184217821,2489684068,     19094,     26698
1281447505, 861412405,       848,     41276
 526412316,2269463125,     12821,     40635
 923677912,1993134725,      8098,     27696
3370795583, 938655593,     41242,     40872
2025464750,1290571995,       816,     38443
2425675775, 626079273,      7308,     31877
3940146081,3269113256,      3768,     35792
2915846123, 508368306,     13831,     35322
2895972685,1269735402,      1392,      4467
 935812525,3760169213,     43861,     18535
2764684802, 264153929,      2579,     45535
4164615370,3806236090,     36109,     41478
1782044894,4011094683,     30724,     42280
 920787787, 763257665,      6490,     33702
1640073195,1852429010,      1200,     43572
1142841732,2115756149,      9292,     40973
4225399277,3072484481,      1617,     34665
3583182061,3006833430,      5449,     38686
3447909507,1358474486,      4478,     30938
3136650234,2831911140,      8760,     19355
3103319541,1243328162,      9259,     34407
2143250662, 432671272,     10634,     11692
3531150828,2688212823,      6392,     12053
3768848034,3162352073,      4155,     39341
 709454268,3911395176,      5319,     36545
1289267523,3163247240,      2354,     35140
 921215762,  24080902,      2386,     47317
 626815868,2059511488,     45405,     53633
2719146231,  20600240,     13272,     28542
2518928796,2580362691,       560,      9247
3490015922, 634151889,     14998,     22522
 679021031,4047619831,      6490,     44851
3595844875,2882554600,      1809,     37535
2058696338, 757879773,     11277,     32607
 852915355,2028940242,     15034,     11033
1604763349,3558256768,     20258,     44131
1301735173,1531669530,     14785,     47832
2474399924,3882794425,       720,     51360
2154751827,2131213760,      6686,     39031
3415413679, 625236596,      2033,     34370
1184811387, 797855030,     14749,     29205
1579813061,2239962071,     23435,     48347
3465232813,4092884198,      4607,     35828
 681511697, 778049463,      2739,     33552
1253355199,3041847197,      7243,     21070
2996007875,1286070538,     17995,     41209
1337224062, 467972694,      3125,     48347
2694072451,2404336728,     45234,      1024
2687580901,1635096254,     11584,     14713
 710045337,2366825778,     27477,     27696
3194765367, 929424763,      3897,     39238
4266682954, 658893617,     11789,     39956
3836703839,1087214870,      2450,     22673
 355212817,2010892875,     14465,     39752
2960227779,1104587541,      2868,     37886
3666862877,2723224046,      1649,     15714
 870306836,1002661488,      6784,     31722
3506475221,1153212263,     16005,     43703
2564416704,4189333444,     14359,     35104
 842855567,2538244315,      3801,     39820
4203418286, 753782197,      7473,     47800
  21116295,3855356688,      6523,     48315
2148748814,1075669122,      1521,     47961
 799158624,1847746331,     32464,     15714
2071455605,3213485490,      6262,     16724
2158582755,4057767571,      9459,     38339
2939083675,2659254154,      4478,     48347
3193948719,3233222862,       496,     44949
1119304423,3771376355,      9894,     48251
1900587037, 457187093,     25261,     12746
2801083401,1926852056,     23014,     44687
2911410585,4263730138,      5287,     14713
1850832450,4178920991,      4769,     30060
3580642212,2148485229,      2932,     22673
3035942736,3351846644,      6752,     14340
 844130431,2502728799,     18827,     37324
3652910086,2128914663,       720,     27909
 332263203,3170764857,     20732,     29370
3920876248, 971144239,      2900,     31371
 479853050, 249790182,      3897,     37571
2310123755,3858296677,      4446,     24281
 703086570,1014922336,      1456,     22064
1657352650,3017368745,      7703,     21177
3956358783,4081202478,      3253,     15852
2783778002,2728704603,      4575,     39066
3666193544,2242489976,     14465,     33364
2224052474,1446771658,      5125,     25581
1787214947,2246512516,      1809,     41175
2044735464,2216453935,     17995,     51072
1031972659, 842189269,      1200,     18949
2332574082,2923856343,      6915,     23366
3948205441,4131058035,      5904,     44884
1692322279,3159570556,      2322,     33025
3716558053,1638895361,      3994,     42080
2835328519, 787719457,     15213,     18535
 919592188,2818674828,      7144,     43769
2330022229,1891986498,      8362,     25852
 552072718,1427281091,      7769,     38997
3447572087,3461093043,     11652,     32683
3848481418,1483446081,      8164,     30581
2073942201,1913559987,      9894,     42944
1453732436,1094641346,      4898,     37324
2293444307,2405099973,      3607,     49022
1974131297,3250527200,      2643,     34370
1536415597,3139501297,      1873,     16920
 805903985,1468765715,     13901,     16192
3142787244,1597214692,      2643,     45340
2454997054, 826141297,      5319,     27781
4057434755,3668811888,      6882,     19978
3687262921,1454122954,     21411,     48797
4266620975,3531382559,      1104,     45242
 783809126,3680991701,      1553,     33289
2490233599,2138684395,     10196,     40771
1992894322, 361476299,     15860,     43901
 121484409,1216433469,      3479,     12491
 250983485,1876839198,     11550,     13724
 364303299,3222207515,       240,     52032
2890469984,3474690944,      6099,     47026
3466707784,3392047682,      3736,     48379
 473305129,2858378372,     13168,     23170
2241062298,3321342237,      1264,     33627
2143292510,1722281050,      7308,     22623
 155526370,1172212433,      2033,     47961
3773352236,2139970808,      8660,     19697
3211162592,1309812887,     11175,     30700
3317264300,2700872120,       944,     45958
4100895006,1867784781,     33116,      6405
3061549936,1192008233,      3028,     31096
2908832054,1001569070,      8230,     48829
2330468961,1349231704,      8197,     27994
2247629617,3604505238,      1200,     29247
3010487946,2388644625,      7079,     46638
3692257101,1945925580,      1489,     32301
 767625769, 107402482,     11243,     15714
1693578409, 368323257,      1296,     38720
1038955200,2272032090,      2996,     51168
1493235316,2778180137,      4510,     41712
3285971142,1684072853,      7900,     44524
2183482892,1160740963,      4575,     33251
 101933141, 913433768,      4963,     29574
2279478324,1747229409,     13063,     40024
2427349800, 695083237,      5611,     47220
 417872001,1319699933,      5969,     21755
2186029620,1214271324,     19325,     44589
1488048024,4293777408,      5352,     27438
2273341848,  51396811,     12544,     25717
3858643959,4072528325,      1905,     33664
1899523549,2007087518,      7604,      2710
1100382139,1032079481,      7966,     39134
2649816012,1758357373,      1969,     35539
 127948910,2446014693,     10364,     28206
2922878423,2613198073,      7407,     39581
3569082799,2479312226,     30941,     45210
2438624412,1841400126,     27096,     43473
  35857005, 500585995,     16587,     36509
 783588548,2601420104,      1553,     24611
3891434195, 710487863,      9026,     32949
 224362650,1378478426,      2226,     47446
1815612540,3408118803,     23605,     12142
2834989385,2678309166,      6719,     39546
2457571147,1330156848,      1008,     39375
2711499928,4129207997,      4091,     41444
1129928159,1394844935,     20811,     25077
 146102020,1933431807,      1168,     32569
4228006827,3613768230,      1553,     38893
1548787740,1667296113,      9492,     19810
  78446614, 128816278,      8594,      7034
2434134901,2933057114,      2964,     38720
3034056948, 712214482,     24467,     25490
2384041164,4174269469,     13691,     40838
 707968912,1830799054,     17658,     22218
3942344444,4089508516,     16005,     23707
2598884430,3344022261,     12097,     17744
3215842535, 944495692,     33915,     11508
1150384934,1339098362,     29926,     40058
 745332977,2970864093,      4543,     25261
  49496935,3116943314,      5774,     28750
3124289605,3969425854,      1296,     18113
 684401312,1503671504,     12441,     29777
1789654243, 374723385,       624,     36223
2351142057,1281249560,      1072,     27994
1046749317,1737352418,      7736,     37746
2486599624, 314303516,      2354,     47220
 566164054,3758987868,      1649,     40534
  41773150,3885416458,      4058,     40872
 248638144,2418124003,      8627,     22472
1997213191, 809560700,      9192,     44589
2740915432,3072308007,      6588,     39341
 968758100,  26064137,      9159,     34185
2727729970, 426229060,     20771,     47349
1693429675,3203631100,        16,     50688
2188997555,2461155582,      6099,     48829
1446046988, 582626721,      5579,     21598
3230652974,1948486441,      3672,      3073
 759863568,3707716020,      1681,     16394
 118867595,1058803002,      2258,     13802
2049146376,2599649476,      4898,     14490
   1217111,1284158513,     11379,     50176
 483374895,3525277509,     17250,     34884
3331026720,2206984283,      5222,     38547
   1418213,1226251134,       400,     18773
 874182381,3242054130,      4381,     46509
 805042080,2466646664,      7177,     40500
 621740671,3343836998,      8528,     38962
2812382071,2754539703,      6001,     26961
2352884289,1436660063,      2643,     35176
 685749580, 196521411,      9259,     45828
2832513498,3718499616,      2707,     23610
1488456085, 617810892,     14359,     40364
1657736624,2341293859,      8893,     34185
2043078076,1206694175,      4736,     38235
4132675093,2885816577,       304,     35213
1420788647,   7645672,     13726,     21124
 848145565,1862365385,      5676,     43043
 905923905, 872235686,      9659,     24658
 877744631,3161856784,      9659,     37711
2127619531,1958208526,      2290,     34259
 664546860,1240227826,      4284,     46412
2478399895,3144912070,     27381,     35539
3087414066,3849898238,       496,      1774
2114608713,1308647722,      8893,     24984
 390807755,3550012394,     15284,     21230
1359247781,2719168390,      1040,     34148
3475387257,1592668435,     10836,     20311
2190765923,3666027108,     15896,      8654
1007431646, 677413016,     28849,     44131
 463291796,2112019459,      2547,     12318
 639770304,3473552534,      7703,     23366
2081856071,1106554951,      4834,     50720
2118980449,1162363897,      2129,     46444
3605309071,3508456511,      3833,     35539
 341680091,  90927979,      1456,     33552
2383066481,3588288246,     11447,     17494
4186336326, 657120443,      2354,     26961
 633104359,2791563832,      9092,     47413
3781933592,3434152362,       976,     38026
4151406630,1586060255,     27959,     13958
3779681195,1084454456,     33852,     43637
 245026481, 787898955,      5222,     42113
3083489452,3890468679,      8230,     18832
3867056383,3962381696,       592,     55692
2870860099,1247828240,      5579,     12405
2912421374,2201234912,     21291,     39546
3397514751, 404987547,     12303,     11130
2437903177, 926639881,      3994,     50944
3352591170,1719032567,      7703,     48797
3354969696,1973925695,      1969,     30101
2595589510,2727189166,     19018,     42380
 837453230,3202965742,      6001,     30141
1285161349,1730252968,      7046,     34848
1697430250,2806619811,      6817,     17113
3531866690, 701462979,      7243,     16057
2969667232, 124201556,      4155,     47865
 687554913,1129552743,       944,     28332
1144267721,3220970249,     10972,     29696
 667026175,1797453019,      3962,     22320
2034719570,3295519016,       624,     12491
 625268094, 806823424,       400,     48733
3394677181,1164991698,      3446,     21755
2860022242,3034505130,     16077,     12831
 623479160, 816208381,     19286,     38270
3359830896, 885761940,     20851,     32797
3329908882,1738406474,      6915,     24376
 221219641, 556947683,      6001,     33851
2230977689,  78909654,     14324,     45763
1067104713,4003499384,      6425,     14340
2375461823,3679803895,      1136,     20201
2126004958,1839552751,      2803,     21806
4237423561,1231306309,      8959,     30978
2792517120,1068204937,     22972,     13405
 421994240,2714069315,      8230,      9585
1276747158,3822854846,      4381,     40127
3346239065,3552543708,        16,     42046
1414896364,2211232466,      7013,     38720
1384668258,2012081403,      4413,     35900
3081752921, 451228234,     15213,     15221
1996492573,1837545676,      8362,     29123
3646257786,1388588516,     18334,     25215
3301734269,2603047672,      4672,     47993
 532651299,4120654013,     13098,     43407
 539727455,  70450038,     13446,     40838
 339530636,1971400270,      3414,     28458
3448825793,2454292750,     10129,     41007
1169137725,2992971825,      9693,     24658
  24795990,1043225914,       432,     46832
3017776165,2251891217,      4058,      8654
 905959976, 839775137,     11141,     29492
 586321249,3881712811,      7769,     41746
3430911976,  23687804,       240,     41946
2585391145,2582718443,     17995,      3073
 124661492,2663885998,      7867,     50208
3141540788,2759660990,      2386,     31915
1416559728,1438139704,      4607,     14112
 841084879,2886564912,      9526,     49406
3208885896,3909348178,       624,     25077
1001307148,1145860044,      6948,     40534
1153652134,1110139147,       176,     23899
1028946636,1701736049,      7933,     36545
4164538682, 894841717,      4995,     20090
1988099622,1888477485,       880,     39854
4226243923,4114991909,      7637,     46994
1083944487,1528252711,     17472,     36367
1142307084,3905179348,      9793,     38339
2283587521, 746973712,     15392,     49406
  26941765,2456639860,     14572,     47317
1238431620,4276029634,      7341,     43275
2366887693,3867111526,     10364,     31253
 947151335, 207327027,      1424,      1774
1918177870,1987329126,      3801,     12405
 333732213,2663381617,      5028,     36188
2588696209, 875637533,     17287,     19922
1911293607,3579558839,     12097,     27567
2507100431,  32373453,      1713,     42213
3299203234,1063722333,       880,     21494
 103808506,3361140653,     32117,     30780
2279160467,3183151911,     10229,     48476
1166558547,3461433085,      9192,     22064
 275133651, 318406062,      2194,     50912
4084433548,2433769693,      6719,     20145
3345996380,1832670181,      5579,     46962
2765118350,1406602395,     10431,     29288
1660627221, 815335009,       688,     32492
1036371766,1591689171,     14007,     31214
2708104240, 589139733,      5546,     21177
 498907889, 281029942,      3060,     48733
2621835229,4068618268,      5319,     15149
3728193215,3156042525,      1745,     54564
1975399332,1321389589,      8230,     31954
 571122091,2346428839,       176,     24752
3124555068,1411404360,     10634,     24611
2950829518,3611065848,      3962,     28248
3040247676,1222891284,     21170,     37746
3535243593, 315716972,      2162,     34554
1007551994, 892477553,      6425,     28999
3933952325,3132497284,      2868,     20145
 783042181,3974289643,     15716,     27824
 950315038,3443351116,      9026,     42113
4043780147,3376303602,      7966,     28163
1314889760,2816058173,      5644,     41879
2683367177,1449100258,     14465,     43209
4191863816, 839053552,      4058,     23658
 443135054, 841683402,      3994,     40737
2628361842,2295155007,     12821,     17431
2126473261, 439612102,       912,     24517
4193338440,  24453295,       368,     17368
4147633177,3912998228,      4478,     49727
4051238879, 316545574,     41452,      8018
3911990397,2703953983,      5709,     14112
4206035118,1844884339,      3543,     43076
1820486460, 779715490,      5774,     46832
2864328612,3400077943,     11960,     24984
 958744804,1748028694,     19711,     48379
 136289915,2934515302,      3286,     18113
3456738406,2490230111,      3446,     34185
4046001552, 524907102,      7177,     17305
 839511541,2362731312,      5417,     31017
1389817265,4134561633,      4834,     34111
3588680379,1163098099,     23351,     24705
 625228982,  26397563,     43454,     48701
3652851714,1884768634,      2450,     34333
2925864102, 844862146,      9961,     22370
3301299658,2194779269,      1873,     33589
3567526536,1914671206,      2162,     47188
2409713386, 743646192,      8429,     45925
4160590642,1729163499,     14572,     16659
1665320209,1200685343,       560,     26786
4231835887, 699111794,      1553,     30501
1986566779,1539857111,     12441,     47510
2846581832,1932870849,       304,     32721
1230361171, 327825435,      3672,     33289
 170155958,3205070329,      3479,     35213
2686755087,3000065092,      4575,     33514
1181179375,1956297189,     19363,     29370
 392983755,3923854328,      7604,     16593
2923025454,1038557539,      6882,     41779
 425954626, 373093511,     12131,     30462
 682927156,  66521833,      2868,     17113
 572978728,1830657004,      7867,     34591
1982212016,2562520455,      5319,     44622
1572587885,1863272847,      5806,     25762
3870007515, 394095299,       592,     23851
4054046513, 328171512,      3382,     24470
3476580854, 151928105,      7736,     24470
1725635709,3653070506,     13551,     40093
2940892628, 197137176,      3028,     33364
4129252905,1923112225,      1040,     21070
4124028666,3011777841,       208,     25852
1674647393,1667183081,      1873,     36794
2395565145,3809290420,      4187,     29655
 746356287,2266476256,     18371,     21910
 821771921, 584995861,      1521,     39888
 597719532, 363980308,      8131,     31954
 823975084, 741643489,      5676,     49150
4271128565,1011427924,     12097,     45796
 196475490,2360884729,      7670,     30342
4233215183, 774467431,      2836,     12405
4083134783,3942515683,       528,     36402
2070697567,2971325658,     22266,     39100
1455872785, 972049865,      2579,     19584
 451684639,4119833592,      1681,     46735
 449613408, 561923023,      3929,     49663
2895886488, 686014604,        16,     18773
1402690613,2442774135,      4058,     36616
2297473232,2503520067,     10431,     27909
 130178890, 912695705,       784,     31057
3942969516, 303934003,     16150,     14933
2337291715,  84697208,      4091,     21546
1085405776,4097749711,     11175,     43374
3092573820,1202957272,      5546,     39683
3884003651,3433742201,     26488,     18476
 627086162,1934478685,     20376,     33589
 845021250,3257632801,      6948,     39854
3583410808,4076861060,     37437,     42280
2070460858, 321608432,     41035,     22320
2291948379, 752994332,      1489,     30462
1191976664, 263211696,       656,     24091
1644966139, 468174216,     10904,      6238
 294994709,3532005684,      4769,     40093
1954976778,1494248154,      7670,     21910
 971517092,1243642237,     40536,     33364
1331102636,3267859856,     10870,     29247
3508984111,2588764795,      7374,     22370
2608230957,1868261827,      9425,     43934
2570611596, 624670968,       880,     33025
1621489575,1512349692,      9325,     33925
 146214802,2861474027,       176,     37921
3999797184,3693714532,      7276,     32721
 513960607,1132475821,      6490,     35395
1202904074,4238627402,       560,     30859
2812548677,3414977406,      1713,     15005
1296792662,3609228897,     10532,     21858
1221222998,3732525329,     11243,     38582
1806224062,  75752695,      1424,     41478
3091797509,3262654675,      2418,     16125
2257803530,3535335537,      2482,     33100
2481260017, 874615825,      5092,     34665
 865243676,1864716471,      6360,     35031
1358434454,  15014182,     12959,     42213
3514668577,1656794392,      5904,     32987
1954301861,1350639042,      3672,     44327
