var,size,bit,cluster,score
sin_theta2_reg,32,3,0,536.1910
sin_theta2_reg,32,30,0,536.1910
sin_theta2_reg,32,31,0,536.1910
sin_theta2_reg,32,5,0,536.1910
theta1_in,32,0,0,536.1910
theta1_in,32,1,0,536.1910
theta1_in,32,10,0,536.1910
theta1_in,32,11,0,536.1910
theta1_in,32,12,0,536.1910
theta1_in,32,13,0,536.1910
theta1_in,32,14,0,536.1910
theta1_in,32,15,0,536.1910
theta1_in,32,16,0,536.1910
theta1_in,32,17,0,536.1910
theta1_in,32,18,0,536.1910
theta1_in,32,19,0,536.1910
theta1_in,32,2,0,536.1910
theta1_in,32,20,0,536.1910
theta1_in,32,21,0,536.1910
theta1_in,32,22,0,536.1910
theta1_in,32,23,0,536.1910
theta1_in,32,24,0,536.1910
theta1_in,32,25,0,536.1910
theta1_in,32,26,0,536.1910
theta1_in,32,27,0,536.1910
theta1_in,32,28,0,536.1910
theta1_in,32,29,0,536.1910
theta1_in,32,3,0,536.1910
theta1_in,32,30,0,536.1910
theta1_in,32,4,0,536.1910
theta1_in,32,5,0,536.1910
theta1_in,32,6,0,536.1910
theta1_in,32,7,0,536.1910
theta1_in,32,8,0,536.1910
theta1_in,32,9,0,536.1910
theta1_num,32,0,0,536.1910
theta1_num,32,1,0,536.1910
theta1_num,32,10,0,536.1910
theta1_num,32,11,0,536.1910
theta1_num,32,12,0,536.1910
theta1_num,32,13,0,536.1910
theta1_num,32,14,0,536.1910
theta1_num,32,15,0,536.1910
theta1_num,32,16,0,536.1910
theta1_num,32,17,0,536.1910
theta1_num,32,18,0,536.1910
theta1_num,32,2,0,536.1910
theta1_num,32,20,0,536.1910
theta1_num,32,22,0,536.1910
theta1_num,32,24,0,536.1910
theta1_num,32,3,0,536.1910
theta1_num,32,4,0,536.1910
theta1_num,32,5,0,536.1910
theta1_num,32,6,0,536.1910
theta1_num,32,7,0,536.1910
theta1_num,32,8,0,536.1910
theta1_num,32,9,0,536.1910
theta2_in,32,0,0,536.1910
theta2_in,32,1,0,536.1910
theta2_in,32,17,0,536.1910
theta2_in,32,18,0,536.1910
theta2_in,32,19,0,536.1910
theta2_in,32,2,0,536.1910
theta2_in,32,20,0,536.1910
theta2_in,32,21,0,536.1910
theta2_in,32,22,0,536.1910
theta2_in,32,23,0,536.1910
theta2_in,32,24,0,536.1910
theta2_in,32,25,0,536.1910
theta2_in,32,26,0,536.1910
theta2_in,32,27,0,536.1910
theta2_in,32,28,0,536.1910
theta2_in,32,29,0,536.1910
theta2_in,32,3,0,536.1910
theta2_in,32,30,0,536.1910
theta2_in,32,4,0,536.1910
theta2_in,32,5,0,536.1910
theta2_in,32,6,0,536.1910
theta2_num,32,0,0,536.1910
theta2_num,32,1,0,536.1910
theta2_num,32,10,0,536.1910
theta2_num,32,11,0,536.1910
theta2_num,32,12,0,536.1910
theta2_num,32,13,0,536.1910
theta2_num,32,2,0,536.1910
theta2_num,32,3,0,536.1910
theta2_num,32,4,0,536.1910
theta2_num,32,5,0,536.1910
theta2_num,32,6,0,536.1910
theta2_num,32,7,0,536.1910
theta2_num,32,8,0,536.1910
theta2_num,32,9,0,536.1910
x_sqr,32,0,0,536.1910
x_sqr,32,1,0,536.1910
x_sqr,32,10,0,536.1910
x_sqr,32,11,0,536.1910
x_sqr,32,12,0,536.1910
x_sqr,32,13,0,536.1910
x_sqr,32,14,0,536.1910
x_sqr,32,2,0,536.1910
x_sqr,32,3,0,536.1910
x_sqr,32,31,0,536.1910
x_sqr,32,4,0,536.1910
x_sqr,32,5,0,536.1910
x_sqr,32,6,0,536.1910
x_sqr,32,7,0,536.1910
x_sqr,32,8,0,536.1910
x_sqr,32,9,0,536.1910
x_sqr_reg,32,0,0,536.1910
x_sqr_reg,32,1,0,536.1910
x_sqr_reg,32,10,0,536.1910
x_sqr_reg,32,11,0,536.1910
x_sqr_reg,32,12,0,536.1910
x_sqr_reg,32,13,0,536.1910
x_sqr_reg,32,14,0,536.1910
x_sqr_reg,32,2,0,536.1910
x_sqr_reg,32,3,0,536.1910
x_sqr_reg,32,31,0,536.1910
x_sqr_reg,32,4,0,536.1910
x_sqr_reg,32,5,0,536.1910
x_sqr_reg,32,6,0,536.1910
x_sqr_reg,32,7,0,536.1910
x_sqr_reg,32,8,0,536.1910
x_sqr_reg,32,9,0,536.1910
xy_sum,32,10,0,536.1910
xy_sum,32,11,0,536.1910
xy_sum,32,12,0,536.1910
xy_sum,32,13,0,536.1910
xy_sum,32,14,0,536.1910
xy_sum,32,2,0,536.1910
xy_sum,32,3,0,536.1910
xy_sum,32,31,0,536.1910
xy_sum,32,4,0,536.1910
xy_sum,32,5,0,536.1910
xy_sum,32,6,0,536.1910
xy_sum,32,7,0,536.1910
xy_sum,32,8,0,536.1910
xy_sum,32,9,0,536.1910
y_sqr,32,10,0,536.1910
y_sqr,32,11,0,536.1910
y_sqr,32,12,0,536.1910
y_sqr,32,13,0,536.1910
y_sqr,32,14,0,536.1910
y_sqr,32,2,0,536.1910
y_sqr,32,3,0,536.1910
y_sqr,32,31,0,536.1910
y_sqr,32,4,0,536.1910
y_sqr,32,5,0,536.1910
y_sqr,32,6,0,536.1910
y_sqr,32,7,0,536.1910
y_sqr,32,8,0,536.1910
y_sqr,32,9,0,536.1910
y_sqr_reg,32,10,0,536.1910
y_sqr_reg,32,11,0,536.1910
y_sqr_reg,32,12,0,536.1910
y_sqr_reg,32,13,0,536.1910
y_sqr_reg,32,14,0,536.1910
y_sqr_reg,32,2,0,536.1910
y_sqr_reg,32,3,0,536.1910
y_sqr_reg,32,31,0,536.1910
y_sqr_reg,32,4,0,536.1910
y_sqr_reg,32,5,0,536.1910
y_sqr_reg,32,6,0,536.1910
y_sqr_reg,32,7,0,536.1910
y_sqr_reg,32,8,0,536.1910
y_sqr_reg,32,9,0,536.1910
part_y,32,24,0,536.3131
part_y_reg,32,24,0,536.3131
part_1,32,4,0,536.5964
part_1,32,6,0,536.5964
part_1_reg,32,4,0,536.5964
part_1_reg,32,6,0,536.5964
part_y,32,21,0,536.5964
part_y_reg,32,21,0,536.5964
theta1_num,32,21,0,536.5964
theta2_in,32,31,0,536.5964
theta2_num,32,31,0,536.5964
cos12,32,5,0,536.8841
cos12,32,7,0,536.8841
cos12_reg,32,5,0,536.8841
cos12_reg,32,7,0,536.8841
cos_theta2,32,2,0,536.8841
cos_theta2_reg,32,2,0,536.8841
part_1,32,5,0,536.8841
part_1,32,7,0,536.8841
part_1_reg,32,5,0,536.8841
part_1_reg,32,7,0,536.8841
part_y,32,19,0,537.0019
part_y_reg,32,19,0,537.0019
theta1_num,32,19,0,537.0019
theta2_in,32,7,0,537.0019
theta2_num,32,14,0,537.0019
theta2_num,32,15,0,537.0019
theta1_num,32,23,0,537.3215
part_1,32,10,0,537.5773
part_1_reg,32,10,0,537.5773
cos_theta2,32,3,0,537.6092
cos_theta2_reg,32,3,0,537.6092
part_x,32,25,0,538.1005
part_x_reg,32,25,0,538.1005
cos_theta2,32,4,1,538.2896
cos_theta2_reg,32,4,1,538.2896
part_x,32,23,1,538.2896
part_x_reg,32,23,1,538.2896
sin12,32,7,1,538.2896
sin12_reg,32,7,1,538.2896
sin_theta2,32,6,1,538.2896
sin_theta2_reg,32,6,1,538.2896
cos12,32,10,1,538.3882
cos12_reg,32,10,1,538.3882
cos_theta2,32,6,1,538.3925
cos_theta2_reg,32,6,1,538.3925
part_x,32,24,1,538.4117
part_x_reg,32,24,1,538.4117
sin12,32,10,1,538.4117
sin12_reg,32,10,1,538.4117
sin12,32,17,1,538.4285
sin12_reg,32,17,1,538.4285
theta1_num,32,30,1,538.7499
theta1_num,32,29,1,538.9113
part_y,32,22,1,538.9827
part_y_reg,32,22,1,538.9827
sin12,32,8,1,539.0147
sin12_reg,32,8,1,539.0147
sin_theta2,32,4,1,539.0147
sin_theta2_reg,32,4,1,539.0147
theta1_num,32,25,1,539.2704
x_sqr,32,15,1,539.2704
x_sqr_reg,32,15,1,539.2704
xy_sum,32,0,1,539.2704
xy_sum,32,1,1,539.2704
xy_sum,32,15,1,539.2704
y_sqr,32,0,1,539.2704
y_sqr,32,1,1,539.2704
y_sqr,32,15,1,539.2704
y_sqr_reg,32,0,1,539.2704
y_sqr_reg,32,1,1,539.2704
y_sqr_reg,32,15,1,539.2704
x_sqr,32,17,1,539.3690
x_sqr_reg,32,17,1,539.3690
sin12,32,9,1,539.4202
sin12_reg,32,9,1,539.4202
part_1,32,9,1,539.6759
part_1_reg,32,9,1,539.6759
part_1,32,8,1,539.7078
part_1_reg,32,8,1,539.7078
sin_theta2,32,8,1,539.7162
sin_theta2_reg,32,8,1,539.7162
xy_sum,32,16,1,539.9636
cos12,32,9,1,540.0814
cos12_reg,32,9,1,540.0814
cos12,32,8,1,540.1133
cos12_reg,32,8,1,540.1133
part_y,32,25,1,540.2035
part_y_reg,32,25,1,540.2035
x_sqr,32,16,1,540.6567
x_sqr_reg,32,16,1,540.6567
theta1_num,32,28,1,540.7523
part_x,32,22,1,541.0814
part_x_reg,32,22,1,541.0814
theta2_num,32,16,1,541.1800
theta1_num,32,26,1,541.5271
part_x,32,30,1,541.9415
part_x_reg,32,30,1,541.9415
cos_theta2,32,7,1,542.1130
cos_theta2_reg,32,7,1,542.1130
theta2_in,32,8,1,542.2786
sin12,32,11,1,542.7075
sin12_reg,32,11,1,542.7075
y_sqr,32,16,1,542.7553
y_sqr_reg,32,16,1,542.7553
part_x,32,27,1,542.9952
part_x_reg,32,27,1,542.9952
cos12,32,18,1,543.1900
cos12_reg,32,18,1,543.1900
cos12,32,11,1,543.3815
cos12_reg,32,11,1,543.3815
part_1,32,11,1,543.3815
part_1_reg,32,11,1,543.3815
theta2_num,32,17,1,543.5471
theta1_num,32,27,1,543.5854
theta2_in,32,9,1,543.6692
xy_sum,32,18,1,544.0938
sin_theta2,32,7,1,544.4993
sin_theta2_reg,32,7,1,544.4993
part_1,32,17,2,544.7542
part_1_reg,32,17,2,544.7542
theta2_in,32,10,2,544.7635
xy_sum,32,17,2,544.8348
part_x,32,29,2,544.9506
part_x_reg,32,29,2,544.9506
sin_theta2,32,12,2,545.0721
sin_theta2_reg,32,12,2,545.0721
theta2_num,32,30,2,545.0875
x_sqr,32,18,2,545.1689
x_sqr_reg,32,18,2,545.1689
cos_theta2,32,12,2,545.4716
cos_theta2_reg,32,12,2,545.4716
y_sqr,32,27,2,545.5744
y_sqr_reg,32,27,2,545.5744
y_sqr,32,19,2,545.5777
y_sqr_reg,32,19,2,545.5777
y_sqr,32,17,2,545.6500
y_sqr_reg,32,17,2,545.6500
theta2_num,32,18,2,546.1565
part_x,32,26,2,546.2327
part_x_reg,32,26,2,546.2327
part_y,32,27,2,546.3772
part_y_reg,32,27,2,546.3772
part_1,32,18,2,546.6855
part_1_reg,32,18,2,546.6855
cos_theta2,32,9,2,546.7068
cos_theta2_reg,32,9,2,546.7068
sin_theta2,32,9,2,546.8856
sin_theta2_reg,32,9,2,546.8856
sin_theta2,32,11,2,547.0872
sin_theta2_reg,32,11,2,547.0872
part_1,32,16,2,547.1094
part_1_reg,32,16,2,547.1094
cos_theta2,32,13,2,547.2808
cos_theta2_reg,32,13,2,547.2808
cos12,32,13,2,547.6631
cos12_reg,32,13,2,547.6631
part_1,32,13,2,547.6631
part_1_reg,32,13,2,547.6631
sin12,32,13,2,547.7221
sin12_reg,32,13,2,547.7221
part_y,32,28,2,547.7684
part_y_reg,32,28,2,547.7684
part_y,32,29,2,547.7726
part_y_reg,32,29,2,547.7726
sin_theta2,32,13,2,547.9166
sin_theta2_reg,32,13,2,547.9166
sin12,32,12,2,547.9842
sin12_reg,32,12,2,547.9842
theta2_num,32,23,2,548.0193
y_sqr,32,25,2,548.1092
y_sqr_reg,32,25,2,548.1092
part_1,32,14,2,548.5646
part_1_reg,32,14,2,548.5646
theta2_num,32,21,2,548.6541
